,Number1,Number2,Number3,Number4
501,one,,,
502,,,,
503,ten,,,
504,ten,,,
505,ten,,,
506,ten,ten,,
507,one,ten,ten,
508,one,ten,ten,
509,two,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,,,,
520,one,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,two,two,,
527,two,two,,
528,one,one,,
529,one,,,
530,two,,,
531,ten,,,
532,ten,ten,,
533,one,,,
534,,,,
535,one,one,ten,
536,ten,ten,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,one,two,,
550,,,,
551,ten,one,one,
552,ten,ten,one,ten
553,ten,ten,ten,
554,ten,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,ten,ten,,
561,,,,
562,,,,
563,four,,,
564,,,,
565,two,one,,
566,two,,,
567,three,,,
568,one,,,
569,ten,one,,
570,,,,
571,,,,
572,,,,
573,,,,
574,one,two,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,one,one,one,one
581,,,,
582,,,,
583,one,one,,
584,,,,
585,,,,
586,two,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,ten,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,ten,ten,,
599,,,,
600,one,,,
601,,,,
602,,,,
603,,,,
604,,,,
605,,,,
606,ten,,,
607,,,,
608,,,,
609,two,one,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,,
615,,,,
616,one,,,
617,,,,
618,two,,,
619,,,,
620,,,,
621,,,,
622,two,,,
623,,,,
624,one,one,,
625,,,,
626,,,,
627,,,,
628,,,,
629,three,,,
630,two,ten,,
631,,,,
632,one,two,,
633,,,,
634,,,,
635,one,,,
636,,,,
637,two,,,
638,,,,
639,,,,
640,two,,,
641,two,two,,
642,four,one,three,one
643,two,two,,
644,,,,
645,,,,
646,,,,
647,,,,
648,,,,
649,ten,,,
650,,,,
651,,,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,,,,
664,,,,
665,,,,
666,ten,,,
667,ten,,,
668,ten,ten,,
669,,,,
670,one,,,
671,,,,
672,,,,
673,,,,
674,,,,
675,,,,
676,,,,
677,,,,
678,,,,
679,,,,
680,,,,
681,,,,
682,one,,,
683,,,,
684,,,,
685,,,,
686,two,six,,
687,,,,
688,,,,
689,ten,,,
690,,,,
691,,,,
692,,,,
693,,,,
694,three,one,,
695,ten,three,,
696,ten,,,
697,,,,
698,ten,one,one,
699,one,one,one,
700,two,ten,ten,
701,,,,
702,,,,
703,one,,,
704,,,,
705,,,,
706,,,,
707,,,,
708,,,,
709,,,,
710,,,,
711,two,two,one,two
712,,,,
713,ten,,,
714,,,,
715,,,,
716,,,,
717,,,,
718,,,,
719,,,,
720,,,,
721,,,,
722,,,,
723,,,,
724,one,one,,
725,,,,
726,,,,
727,,,,
728,,,,
729,,,,
730,,,,
731,ten,,,
732,three,one,one,one
733,,,,
734,,,,
735,,,,
736,two,,,
737,,,,
738,,,,
739,,,,
740,,,,
741,,,,
742,one,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,,,,
749,,,,
750,,,,
751,,,,
752,,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,one,,,
759,,,,
760,two,two,,
761,,,,
762,,,,
763,,,,
764,two,one,,
765,one,,,
766,ten,ten,,
767,,,,
768,,,,
769,,,,
770,,,,
771,one,,,
772,,,,
773,,,,
774,,,,
775,,,,
776,,,,
777,,,,
778,one,one,,
779,,,,
780,,,,
781,,,,
782,,,,
783,two,,,
784,,,,
785,two,,,
786,,,,
787,,,,
788,one,ten,ten,ten
789,,,,
790,one,,,
791,,,,
792,,,,
793,,,,
794,,,,
795,,,,
796,,,,
797,,,,
798,two,,,
799,,,,
800,,,,
801,one,,,
802,,,,
803,one,,,
804,,,,
805,,,,
806,,,,
807,,,,
808,five,,,
809,,,,
810,one,ten,ten,ten
811,,,,
812,,,,
813,,,,
814,,,,
815,,,,
816,three,three,,
817,one,,,
818,,,,
819,,,,
820,one,,,
821,,,,
822,,,,
823,one,,,
824,,,,
825,,,,
826,,,,
827,,,,
828,two,,,
829,,,,
830,one,,,
831,one,one,,
832,one,,,
833,,,,
834,,,,
835,two,,,
836,,,,
837,one,,,
838,,,,
839,,,,
840,ten,one,one,one
841,,,,
842,two,one,,
843,ten,,,
844,one,,,
845,,,,
846,two,one,,
847,,,,
848,,,,
849,,,,
850,one,,,
851,,,,
852,,,,
853,,,,
854,,,,
855,,,,
856,one,ten,one,
857,,,,
