,Number1,Number2,Number3,Number4
1985,,,,
1986,ten,ten,,
1987,one,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,,,,
1994,ten,,,
1995,,,,
1996,ten,ten,,
1997,,,,
1998,one,,,
1999,,,,
2000,,,,
2001,,,,
2002,one,one,,
2003,one,,,
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,one,,,
2009,,,,
2010,,,,
2011,,,,
2012,,,,
2013,,,,
2014,,,,
2015,,,,
2016,,,,
2017,one,,,
2018,two,,,
2019,,,,
2020,two,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,ten,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,one,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,ten,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,four,one,,
2051,,,,
2052,,,,
2053,,,,
2054,,,,
2055,one,,,
2056,,,,
2057,,,,
2058,,,,
2059,one,one,,
2060,,,,
2061,,,,
2062,,,,
2063,,,,
2064,,,,
2065,,,,
2066,two,,,
2067,,,,
2068,one,one,ten,ten
2069,,,,
2070,,,,
2071,,,,
2072,,,,
2073,one,,,
2074,,,,
2075,,,,
2076,,,,
2077,ten,,,
2078,one,,,
2079,ten,,,
2080,,,,
2081,,,,
2082,two,,,
2083,,,,
2084,,,,
2085,,,,
2086,,,,
2087,,,,
2088,,,,
2089,,,,
2090,,,,
2091,ten,,,
2092,one,,,
2093,,,,
2094,one,,,
2095,two,,,
2096,,,,
2097,four,,,
2098,,,,
2099,,,,
2100,,,,
2101,,,,
2102,,,,
2103,,,,
2104,one,,,
2105,,,,
2106,,,,
2107,,,,
2108,one,ten,ten,ten
2109,one,ten,,
2110,,,,
2111,two,,,
2112,,,,
2113,,,,
2114,,,,
2115,,,,
2116,,,,
2117,,,,
2118,,,,
2119,,,,
2120,,,,
2121,one,one,one,
2122,,,,
2123,,,,
2124,,,,
2125,one,one,,
2126,,,,
2127,,,,
2128,,,,
2129,,,,
2130,,,,
2131,,,,
2132,,,,
2133,,,,
2134,,,,
2135,,,,
2136,,,,
2137,,,,
2138,ten,ten,,
2139,,,,
2140,,,,
2141,,,,
2142,,,,
2143,two,one,,
2144,,,,
2145,,,,
2146,,,,
2147,,,,
2148,one,,,
2149,one,,,
2150,one,,,
2151,,,,
2152,,,,
2153,,,,
2154,,,,
2155,,,,
2156,,,,
2157,,,,
2158,,,,
2159,one,,,
2160,,,,
2161,one,,,
2162,,,,
2163,,,,
2164,,,,
2165,,,,
2166,,,,
2167,one,one,,
2168,ten,two,,
2169,,,,
2170,,,,
2171,,,,
2172,,,,
2173,two,,,
2174,,,,
2175,one,,,
2176,one,,,
2177,,,,
2178,,,,
2179,two,,,
2180,ten,,,
2181,one,ten,,
2182,ten,ten,one,
2183,,,,
2184,,,,
2185,one,,,
2186,,,,
2187,,,,
2188,,,,
2189,three,two,,
2190,,,,
2191,four,,,
2192,,,,
2193,two,,,
2194,one,one,one,
2195,one,ten,,
2196,,,,
2197,three,two,,
2198,,,,
2199,,,,
2200,,,,
2201,two,two,,
2202,ten,,,
2203,,,,
2204,,,,
2205,,,,
2206,three,one,,
2207,,,,
2208,ten,,,
2209,,,,
2210,,,,
2211,three,one,,
2212,,,,
2213,,,,
2214,,,,
2215,,,,
2216,,,,
2217,,,,
2218,two,ten,ten,
2219,,,,
2220,one,,,
2221,,,,
2222,,,,
2223,,,,
2224,,,,
2225,,,,
2226,,,,
2227,,,,
2228,,,,
2229,,,,
2230,,,,
2231,four,,,
2232,four,,,
2233,two,,,
2234,,,,
2235,,,,
2236,,,,
2237,two,one,,
2238,,,,
2239,,,,
2240,,,,
2241,,,,
2242,one,,,
2243,,,,
2244,one,,,
2245,ten,ten,one,
2246,,,,
2247,,,,
2248,,,,
2249,,,,
2250,,,,
2251,,,,
2252,one,,,
2253,,,,
2254,two,,,
2255,one,one,,
2256,,,,
2257,,,,
2258,,,,
2259,,,,
2260,,,,
2261,two,,,
2262,,,,
2263,,,,
2264,,,,
2265,,,,
2266,,,,
2267,,,,
2268,,,,
2269,,,,
2270,one,,,
2271,one,,,
2272,,,,
2273,,,,
2274,one,,,
2275,ten,one,one,ten
2276,,,,
2277,,,,
2278,one,,,
2279,two,two,,
2280,,,,
2281,,,,
2282,two,two,,
2283,,,,
2284,three,two,one,
2285,,,,
2286,,,,
2287,,,,
2288,,,,
2289,one,,,
2290,ten,,,
2291,,,,
2292,two,one,,
2293,one,one,ten,
2294,,,,
2295,,,,
2296,,,,
2297,one,,,
2298,ten,ten,,
2299,one,,,
2300,ten,ten,,
2301,,,,
2302,,,,
2303,,,,
2304,two,,,
2305,,,,
2306,,,,
2307,,,,
2308,one,,,
2309,,,,
2310,,,,
2311,,,,
2312,,,,
2313,,,,
2314,,,,
2315,,,,
2316,,,,
2317,,,,
2318,,,,
2319,,,,
2320,,,,
2321,,,,
2322,,,,
2323,,,,
2324,,,,
2325,,,,
2326,,,,
2327,ten,,,
2328,,,,
2329,one,,,
2330,,,,
2331,,,,
2332,,,,
2333,,,,
2334,,,,
2335,,,,
2336,,,,
2337,,,,
2338,,,,
2339,,,,
2340,,,,
2341,,,,
2342,,,,
2343,,,,
2344,,,,
2345,ten,,,
2346,,,,
2347,ten,ten,one,
2348,ten,,,
2349,,,,
2350,,,,
2351,,,,
2352,,,,
2353,,,,
2354,one,,,
2355,,,,
2356,,,,
2357,ten,ten,one,
2358,,,,
2359,,,,
2360,,,,
2361,,,,
2362,two,,,
2363,,,,
2364,,,,
2365,,,,
2366,,,,
2367,,,,
2368,ten,,,
2369,two,,,
2370,,,,
2371,,,,
2372,,,,
2373,,,,
2374,,,,
2375,,,,
2376,,,,
2377,,,,
2378,,,,
2379,,,,
2380,one,,,
2381,one,,,
2382,,,,
2383,,,,
2384,two,two,one,one
2385,,,,
2386,,,,
2387,,,,
2388,,,,
2389,,,,
2390,,,,
2391,,,,
2392,,,,
2393,one,,,
2394,,,,
2395,one,,,
2396,,,,
2397,,,,
2398,four,five,one,
2399,,,,
2400,ten,,,
2401,,,,
2402,one,,,
2403,,,,
2404,,,,
2405,,,,
2406,,,,
2407,four,two,,
2408,,,,
2409,,,,
2410,,,,
2411,ten,,,
2412,,,,
2413,one,,,
2414,,,,
2415,,,,
2416,ten,,,
2417,,,,
2418,,,,
2419,,,,
2420,,,,
2421,,,,
2422,,,,
2423,one,,,
2424,,,,
2425,,,,
2426,,,,
2427,ten,,,
2428,one,,,
2429,,,,
2430,,,,
2431,two,,,
2432,,,,
2433,,,,
2434,,,,
2435,,,,
2436,,,,
2437,,,,
2438,,,,
2439,,,,
2440,,,,
2441,one,,,
2442,ten,one,ten,
2443,,,,
2444,ten,,,
2445,one,,,
2446,,,,
2447,one,ten,one,ten
2448,,,,
2449,one,,,
2450,,,,
2451,,,,
2452,,,,
2453,ten,one,ten,ten
2454,ten,ten,ten,ten
2455,,,,
2456,one,,,
2457,,,,
2458,,,,
2459,,,,
2460,,,,
2461,,,,
2462,,,,
2463,,,,
2464,one,,,
2465,,,,
2466,,,,
2467,,,,
2468,ten,,,
2469,ten,ten,,
2470,,,,
2471,,,,
2472,,,,
2473,one,,,
2474,,,,
2475,one,,,
2476,,,,
2477,,,,
2478,,,,
2479,,,,
2480,,,,
2481,,,,
2482,,,,
2483,,,,
2484,,,,
2485,ten,,,
2486,,,,
2487,,,,
2488,ten,,,
2489,ten,four,,
2490,ten,ten,four,
2491,,,,
2492,,,,
2493,ten,,,
2494,,,,
2495,,,,
2496,,,,
2497,,,,
2498,,,,
2499,,,,
2500,,,,
2501,,,,
2502,,,,
2503,,,,
2504,,,,
2505,,,,
2506,,,,
2507,four,two,,
2508,ten,ten,,
2509,,,,
2510,ten,,,
2511,ten,,,
2512,,,,
2513,,,,
2514,,,,
2515,one,,,
2516,,,,
2517,one,,,
2518,,,,
2519,,,,
2520,,,,
2521,,,,
2522,,,,
2523,,,,
2524,,,,
2525,,,,
2526,,,,
2527,ten,,,
2528,,,,
2529,two,,,
2530,,,,
2531,,,,
2532,,,,
2533,,,,
2534,,,,
2535,,,,
2536,one,,,
2537,ten,,,
2538,one,two,,
2539,,,,
2540,,,,
2541,,,,
2542,,,,
2543,,,,
2544,,,,
2545,,,,
2546,,,,
2547,ten,,,
2548,,,,
2549,,,,
2550,,,,
2551,,,,
2552,,,,
2553,,,,
2554,,,,
2555,,,,
2556,two,,,
2557,,,,
2558,,,,
2559,,,,
2560,ten,,,
2561,,,,
2562,,,,
2563,,,,
2564,,,,
2565,,,,
2566,,,,
2567,,,,
2568,,,,
2569,,,,
2570,,,,
2571,,,,
2572,,,,
2573,,,,
2574,,,,
2575,one,,,
2576,,,,
2577,,,,
2578,,,,
2579,one,two,one,one
2580,,,,
2581,one,,,
2582,,,,
2583,,,,
2584,one,,,
2585,,,,
2586,,,,
2587,,,,
2588,,,,
2589,,,,
2590,,,,
2591,one,two,,
2592,,,,
2593,,,,
2594,ten,one,,
2595,,,,
2596,one,three,,
2597,,,,
2598,,,,
2599,,,,
2600,one,,,
2601,one,,,
2602,one,,,
2603,,,,
2604,,,,
2605,,,,
2606,,,,
2607,two,two,,
2608,,,,
2609,,,,
2610,,,,
2611,,,,
2612,,,,
2613,one,,,
2614,,,,
2615,,,,
2616,,,,
2617,,,,
2618,,,,
2619,one,,,
2620,,,,
2621,,,,
2622,,,,
2623,,,,
2624,,,,
2625,,,,
2626,,,,
2627,,,,
2628,,,,
2629,,,,
2630,,,,
2631,,,,
2632,,,,
2633,,,,
2634,,,,
2635,ten,one,,
2636,,,,
2637,,,,
2638,one,one,,
2639,,,,
2640,,,,
2641,,,,
2642,,,,
2643,,,,
2644,,,,
2645,,,,
2646,,,,
2647,,,,
2648,one,,,
2649,,,,
2650,,,,
2651,two,one,,
2652,,,,
2653,,,,
2654,,,,
2655,,,,
2656,,,,
2657,one,,,
2658,one,,,
2659,one,ten,two,ten
2660,,,,
2661,,,,
2662,,,,
2663,,,,
2664,,,,
2665,,,,
2666,ten,ten,,
2667,one,one,one,
2668,,,,
2669,,,,
2670,one,,,
2671,ten,,,
2672,,,,
2673,,,,
2674,,,,
2675,,,,
2676,ten,ten,ten,
2677,,,,
2678,,,,
2679,,,,
2680,,,,
2681,two,,,
2682,,,,
2683,,,,
2684,two,,,
2685,four,,,
2686,,,,
2687,,,,
2688,ten,,,
2689,,,,
2690,,,,
2691,,,,
2692,,,,
2693,,,,
2694,,,,
2695,,,,
2696,,,,
2697,one,one,,
2698,,,,
2699,,,,
2700,,,,
2701,,,,
2702,,,,
2703,one,,,
2704,,,,
2705,,,,
2706,two,,,
2707,two,,,
2708,one,,,
2709,,,,
2710,,,,
2711,,,,
2712,,,,
2713,three,,,
2714,ten,ten,,
2715,,,,
2716,,,,
2717,ten,one,one,one
2718,,,,
2719,,,,
2720,,,,
2721,,,,
2722,,,,
2723,,,,
2724,,,,
2725,,,,
2726,,,,
2727,,,,
2728,,,,
2729,,,,
2730,,,,
2731,,,,
2732,,,,
2733,,,,
2734,,,,
2735,,,,
2736,,,,
2737,,,,
2738,,,,
2739,,,,
2740,,,,
2741,,,,
2742,one,ten,,
2743,,,,
2744,,,,
2745,,,,
2746,,,,
2747,,,,
2748,,,,
2749,,,,
2750,,,,
2751,,,,
2752,,,,
2753,ten,ten,one,
2754,,,,
2755,,,,
2756,,,,
2757,,,,
2758,,,,
2759,,,,
2760,,,,
2761,,,,
2762,,,,
2763,,,,
2764,,,,
2765,,,,
2766,,,,
2767,,,,
2768,,,,
2769,,,,
2770,,,,
2771,,,,
2772,,,,
2773,,,,
2774,,,,
2775,,,,
2776,,,,
2777,,,,
2778,,,,
2779,,,,
2780,,,,
2781,,,,
2782,,,,
2783,,,,
2784,,,,
2785,,,,
2786,ten,one,,
2787,,,,
2788,one,one,,
2789,two,one,three,two
2790,,,,
2791,one,,,
2792,two,,,
2793,,,,
2794,,,,
2795,one,,,
2796,one,,,
2797,,,,
2798,,,,
2799,two,,,
2800,,,,
2801,,,,
2802,,,,
2803,,,,
2804,,,,
2805,,,,
2806,,,,
2807,one,one,,
2808,one,,,
2809,one,,,
2810,one,ten,one,
2811,ten,,,
2812,ten,,,
2813,,,,
2814,,,,
2815,,,,
2816,,,,
2817,,,,
2818,,,,
2819,,,,
2820,,,,
2821,,,,
2822,,,,
2823,,,,
2824,,,,
2825,two,,,
2826,,,,
2827,,,,
2828,,,,
2829,,,,
2830,,,,
2831,,,,
2832,,,,
2833,,,,
2834,,,,
2835,ten,,,
2836,,,,
2837,,,,
2838,,,,
2839,,,,
2840,,,,
2841,one,,,
2842,,,,
2843,,,,
2844,one,,,
2845,,,,
2846,,,,
2847,,,,
2848,,,,
2849,,,,
2850,,,,
2851,,,,
2852,,,,
2853,,,,
2854,,,,
2855,,,,
2856,,,,
2857,,,,
2858,,,,
2859,,,,
2860,,,,
2861,two,one,,
2862,,,,
2863,one,,,
2864,,,,
2865,,,,
2866,,,,
2867,one,,,
2868,,,,
2869,,,,
2870,,,,
2871,,,,
2872,one,two,one,
2873,,,,
2874,,,,
2875,,,,
2876,,,,
2877,,,,
2878,,,,
2879,ten,,,
2880,,,,
2881,,,,
2882,,,,
2883,,,,
2884,,,,
2885,,,,
2886,ten,ten,,
2887,,,,
2888,one,two,,
2889,,,,
2890,,,,
2891,,,,
2892,,,,
2893,one,one,,
2894,,,,
2895,,,,
2896,one,,,
2897,,,,
2898,,,,
2899,ten,ten,ten,one
2900,ten,,,
2901,,,,
2902,two,,,
2903,one,,,
2904,ten,,,
2905,,,,
2906,one,,,
2907,,,,
2908,,,,
2909,,,,
2910,,,,
2911,,,,
2912,,,,
2913,,,,
2914,one,,,
2915,,,,
2916,,,,
2917,,,,
2918,one,one,,
2919,,,,
2920,,,,
2921,,,,
2922,,,,
2923,,,,
2924,,,,
2925,,,,
2926,,,,
2927,one,,,
2928,,,,
2929,one,,,
2930,,,,
2931,,,,
2932,,,,
2933,,,,
2934,one,,,
2935,,,,
2936,one,one,,
2937,,,,
2938,,,,
2939,,,,
2940,one,,,
2941,,,,
2942,,,,
2943,,,,
2944,,,,
2945,,,,
2946,,,,
2947,one,,,
2948,ten,ten,,
2949,two,one,one,
2950,,,,
2951,,,,
2952,,,,
2953,,,,
2954,,,,
2955,,,,
2956,,,,
2957,,,,
2958,,,,
2959,,,,
2960,,,,
2961,,,,
2962,ten,ten,one,
2963,,,,
2964,,,,
2965,,,,
2966,one,,,
2967,one,,,
2968,two,one,,
2969,one,,,
2970,one,,,
2971,ten,one,,
2972,ten,,,
2973,,,,
2974,,,,
2975,,,,
2976,,,,
2977,,,,
2978,,,,
2979,two,two,two,two
2980,two,,,
2981,,,,
2982,,,,
2983,,,,
2984,two,one,,
2985,,,,
2986,,,,
2987,,,,
2988,one,,,
2989,one,two,one,one
2990,ten,,,
2991,,,,
2992,,,,
2993,one,,,
2994,,,,
2995,,,,
2996,,,,
2997,,,,
2998,,,,
2999,ten,,,
3000,,,,
3001,one,,,
3002,,,,
3003,,,,
3004,,,,
3005,,,,
3006,,,,
3007,,,,
3008,ten,ten,ten,ten
3009,,,,
3010,,,,
3011,,,,
3012,one,,,
3013,,,,
3014,,,,
3015,,,,
3016,ten,,,
3017,,,,
3018,,,,
3019,,,,
3020,,,,
3021,,,,
3022,,,,
3023,,,,
3024,,,,
3025,,,,
3026,ten,,,
3027,,,,
3028,,,,
3029,,,,
3030,,,,
3031,ten,two,,
3032,,,,
3033,,,,
3034,,,,
3035,,,,
3036,,,,
3037,,,,
3038,,,,
3039,ten,ten,ten,
3040,,,,
3041,,,,
3042,one,,,
3043,,,,
3044,three,,,
3045,one,,,
3046,,,,
3047,,,,
3048,,,,
3049,,,,
3050,,,,
3051,,,,
3052,,,,
3053,,,,
3054,,,,
3055,,,,
3056,,,,
3057,,,,
3058,,,,
3059,,,,
3060,ten,ten,one,ten
3061,,,,
3062,,,,
3063,,,,
3064,,,,
3065,,,,
3066,ten,,,
3067,,,,
3068,,,,
3069,one,,,
3070,,,,
3071,,,,
3072,one,,,
3073,,,,
3074,,,,
3075,,,,
3076,,,,
3077,,,,
3078,,,,
3079,,,,
3080,two,,,
3081,,,,
3082,three,one,three,one
3083,one,,,
3084,,,,
3085,,,,
3086,,,,
3087,,,,
3088,,,,
3089,,,,
3090,,,,
3091,,,,
3092,,,,
3093,,,,
3094,,,,
3095,,,,
3096,,,,
3097,one,one,,
3098,two,,,
3099,,,,
3100,,,,
3101,,,,
3102,,,,
3103,ten,,,
3104,two,two,,
3105,one,,,
3106,,,,
3107,,,,
3108,,,,
3109,,,,
3110,,,,
3111,,,,
3112,,,,
3113,,,,
3114,,,,
3115,,,,
3116,,,,
3117,,,,
3118,,,,
3119,,,,
3120,,,,
3121,ten,ten,ten,
3122,,,,
3123,,,,
3124,ten,ten,,
3125,,,,
3126,,,,
3127,,,,
3128,,,,
3129,,,,
3130,,,,
3131,,,,
3132,one,one,,
3133,,,,
3134,,,,
3135,,,,
3136,,,,
3137,two,,,
3138,,,,
3139,,,,
3140,,,,
3141,,,,
3142,,,,
3143,,,,
3144,,,,
3145,,,,
3146,,,,
3147,,,,
3148,one,,,
3149,,,,
3150,,,,
3151,,,,
3152,three,one,,
3153,,,,
3154,,,,
3155,,,,
3156,one,,,
3157,,,,
3158,,,,
3159,,,,
3160,,,,
3161,,,,
3162,,,,
3163,,,,
3164,ten,,,
3165,two,one,two,one
3166,two,one,two,one
3167,,,,
3168,,,,
3169,one,one,,
3170,one,,,
3171,,,,
3172,two,two,,
3173,ten,ten,,
3174,,,,
3175,one,,,
3176,two,one,,
3177,,,,
3178,,,,
3179,,,,
3180,,,,
3181,one,,,
3182,ten,,,
3183,,,,
3184,two,,,
3185,ten,,,
3186,,,,
3187,,,,
3188,two,,,
3189,one,,,
3190,,,,
3191,,,,
3192,,,,
3193,ten,,,
3194,,,,
3195,two,,,
3196,one,ten,,
3197,ten,,,
3198,ten,,,
3199,three,two,,
3200,one,,,
3201,one,,,
3202,,,,
3203,,,,
3204,,,,
3205,,,,
3206,,,,
3207,,,,
3208,,,,
3209,,,,
3210,,,,
3211,,,,
3212,,,,
3213,,,,
3214,,,,
3215,,,,
3216,one,,,
3217,,,,
3218,two,,,
3219,,,,
3220,,,,
3221,,,,
3222,,,,
3223,,,,
3224,,,,
3225,two,,,
3226,,,,
3227,,,,
3228,,,,
3229,,,,
3230,,,,
3231,one,,,
3232,one,,,
3233,,,,
3234,,,,
3235,,,,
3236,one,one,,
3237,ten,ten,ten,ten
3238,ten,,,
3239,,,,
3240,ten,,,
3241,one,,,
3242,,,,
3243,,,,
3244,,,,
3245,,,,
3246,,,,
3247,,,,
3248,,,,
3249,,,,
3250,,,,
3251,one,,,
3252,ten,,,
3253,,,,
3254,,,,
3255,,,,
3256,,,,
3257,,,,
3258,,,,
3259,,,,
3260,,,,
3261,,,,
3262,,,,
3263,,,,
3264,,,,
3265,,,,
3266,ten,one,,
3267,ten,one,one,one
3268,two,one,one,two
3269,,,,
3270,,,,
3271,one,,,
3272,,,,
3273,,,,
3274,,,,
3275,,,,
3276,,,,
3277,,,,
3278,,,,
3279,,,,
3280,,,,
3281,,,,
3282,,,,
3283,one,,,
3284,one,,,
3285,,,,
3286,,,,
3287,,,,
3288,,,,
3289,,,,
3290,,,,
3291,,,,
3292,ten,one,,
3293,one,one,,
3294,ten,,,
3295,,,,
3296,three,one,two,
3297,,,,
3298,,,,
3299,,,,
3300,,,,
3301,,,,
3302,,,,
3303,,,,
3304,,,,
3305,,,,
3306,ten,,,
3307,ten,,,
3308,two,one,one,
3309,,,,
3310,,,,
3311,,,,
3312,five,,,
3313,,,,
3314,,,,
3315,,,,
3316,,,,
3317,,,,
3318,,,,
3319,two,,,
3320,,,,
3321,,,,
3322,,,,
3323,,,,
3324,,,,
3325,,,,
3326,one,,,
3327,,,,
3328,,,,
3329,one,,,
3330,,,,
3331,,,,
3332,,,,
3333,,,,
3334,,,,
3335,one,one,one,
3336,,,,
3337,one,,,
3338,,,,
3339,,,,
3340,two,,,
3341,two,two,one,
3342,,,,
3343,,,,
3344,,,,
3345,,,,
3346,,,,
3347,,,,
3348,one,one,two,one
3349,,,,
3350,one,,,
3351,,,,
3352,,,,
3353,,,,
3354,,,,
3355,ten,,,
3356,,,,
3357,ten,ten,one,
3358,,,,
3359,,,,
3360,,,,
3361,,,,
3362,,,,
3363,,,,
3364,,,,
3365,,,,
3366,,,,
3367,,,,
3368,two,,,
3369,,,,
3370,one,,,
3371,ten,ten,ten,one
3372,,,,
3373,,,,
3374,,,,
3375,,,,
3376,one,,,
3377,,,,
3378,,,,
3379,,,,
3380,,,,
3381,,,,
3382,,,,
3383,,,,
3384,,,,
3385,ten,ten,,
3386,,,,
3387,one,,,
3388,two,,,
3389,,,,
3390,,,,
3391,,,,
3392,,,,
3393,,,,
3394,five,,,
3395,,,,
3396,,,,
3397,,,,
3398,,,,
3399,,,,
3400,,,,
3401,one,,,
3402,,,,
3403,,,,
3404,,,,
3405,,,,
3406,,,,
3407,one,,,
3408,,,,
3409,,,,
3410,ten,one,ten,
3411,,,,
3412,one,one,,
3413,,,,
3414,,,,
3415,,,,
3416,,,,
3417,,,,
3418,,,,
3419,,,,
3420,two,one,,
3421,,,,
3422,,,,
3423,one,,,
3424,,,,
3425,two,,,
3426,one,,,
3427,,,,
3428,,,,
3429,,,,
3430,,,,
3431,two,one,three,two
3432,,,,
3433,,,,
3434,,,,
3435,one,ten,two,one
3436,,,,
3437,,,,
3438,,,,
3439,,,,
3440,,,,
3441,,,,
3442,,,,
3443,,,,
3444,,,,
3445,ten,one,one,
3446,,,,
3447,two,,,
3448,,,,
3449,,,,
3450,,,,
3451,three,,,
3452,,,,
3453,,,,
3454,,,,
3455,,,,
3456,,,,
3457,,,,
3458,,,,
3459,,,,
3460,three,,,
3461,,,,
3462,,,,
3463,,,,
3464,,,,
3465,three,ten,,
3466,,,,
3467,two,two,,
3468,,,,
3469,two,,,
3470,,,,
3471,,,,
3472,,,,
3473,,,,
3474,,,,
3475,,,,
3476,,,,
3477,,,,
3478,,,,
3479,ten,,,
3480,,,,
3481,,,,
3482,ten,ten,,
3483,,,,
3484,one,,,
3485,,,,
3486,,,,
3487,,,,
3488,one,,,
3489,one,two,,
3490,,,,
3491,,,,
3492,,,,
3493,,,,
3494,,,,
3495,,,,
3496,ten,,,
3497,,,,
3498,,,,
3499,,,,
3500,two,ten,,
3501,,,,
3502,,,,
3503,,,,
3504,,,,
3505,,,,
3506,ten,,,
3507,ten,,,
3508,ten,ten,,
3509,ten,ten,ten,
3510,,,,
3511,,,,
3512,,,,
3513,,,,
3514,,,,
3515,one,,,
3516,,,,
3517,,,,
3518,,,,
3519,,,,
3520,three,one,,
3521,three,ten,,
3522,,,,
3523,two,one,one,one
3524,,,,
3525,,,,
3526,one,,,
3527,ten,ten,ten,
3528,,,,
3529,ten,ten,ten,
3530,one,one,,
3531,,,,
3532,,,,
3533,ten,one,,
3534,ten,one,ten,
3535,ten,ten,ten,
3536,one,ten,,
3537,,,,
3538,,,,
3539,,,,
3540,,,,
3541,ten,,,
3542,,,,
3543,,,,
3544,,,,
3545,,,,
3546,one,ten,one,
3547,,,,
3548,one,,,
3549,,,,
3550,,,,
3551,,,,
3552,,,,
3553,,,,
3554,two,two,,
3555,,,,
3556,,,,
3557,,,,
3558,,,,
3559,,,,
3560,ten,ten,one,one
3561,,,,
3562,one,,,
3563,,,,
3564,one,,,
3565,,,,
3566,three,,,
3567,,,,
3568,ten,ten,,
3569,,,,
3570,,,,
3571,,,,
3572,ten,ten,one,one
3573,one,,,
3574,,,,
3575,,,,
3576,two,,,
3577,,,,
3578,,,,
3579,one,,,
3580,,,,
3581,,,,
3582,,,,
3583,,,,
3584,,,,
3585,two,two,two,two
3586,,,,
3587,,,,
3588,,,,
3589,,,,
3590,,,,
3591,,,,
3592,,,,
3593,ten,ten,,
3594,,,,
3595,,,,
3596,,,,
3597,,,,
3598,,,,
3599,,,,
3600,one,,,
3601,,,,
3602,,,,
3603,,,,
3604,,,,
3605,,,,
3606,,,,
3607,,,,
3608,one,one,,
3609,,,,
3610,ten,,,
3611,,,,
3612,,,,
3613,one,one,,
3614,one,one,,
3615,,,,
3616,two,,,
3617,,,,
3618,,,,
3619,ten,,,
3620,,,,
3621,,,,
3622,,,,
3623,,,,
3624,,,,
3625,,,,
3626,,,,
3627,,,,
3628,,,,
3629,,,,
3630,,,,
3631,,,,
3632,,,,
3633,,,,
3634,,,,
3635,,,,
3636,,,,
3637,,,,
3638,,,,
3639,ten,,,
3640,,,,
3641,two,one,,
3642,ten,,,
3643,,,,
3644,ten,ten,,
3645,,,,
3646,,,,
3647,ten,one,,
3648,ten,,,
3649,ten,,,
3650,,,,
3651,,,,
3652,ten,,,
3653,,,,
3654,ten,,,
3655,,,,
3656,,,,
3657,,,,
3658,,,,
3659,,,,
3660,,,,
3661,,,,
3662,,,,
3663,,,,
3664,one,,,
3665,,,,
3666,,,,
3667,,,,
3668,,,,
3669,,,,
3670,,,,
3671,one,,,
3672,,,,
3673,,,,
3674,one,,,
3675,,,,
3676,ten,,,
3677,two,two,,
3678,,,,
3679,two,,,
3680,,,,
3681,,,,
3682,,,,
3683,,,,
3684,,,,
3685,two,two,,
3686,two,two,two,two
3687,,,,
3688,,,,
3689,four,,,
3690,one,one,one,
3691,,,,
3692,,,,
3693,,,,
3694,,,,
3695,,,,
3696,,,,
3697,two,ten,,
3698,eight,,,
3699,,,,
3700,ten,,,
3701,one,,,
3702,ten,,,
3703,,,,
3704,,,,
3705,,,,
3706,,,,
3707,,,,
3708,one,,,
3709,ten,ten,,
3710,,,,
3711,,,,
3712,,,,
3713,,,,
3714,,,,
3715,,,,
3716,,,,
3717,one,one,,
3718,,,,
3719,ten,,,
3720,one,,,
3721,,,,
3722,,,,
3723,,,,
3724,,,,
3725,,,,
3726,,,,
3727,,,,
3728,,,,
3729,,,,
3730,,,,
3731,,,,
3732,,,,
3733,one,,,
3734,,,,
3735,,,,
3736,,,,
3737,,,,
3738,,,,
3739,,,,
3740,,,,
3741,,,,
3742,,,,
3743,,,,
3744,,,,
3745,,,,
3746,,,,
3747,three,three,three,three
3748,,,,
3749,,,,
3750,two,two,,
3751,,,,
3752,,,,
3753,one,,,
3754,,,,
3755,,,,
3756,,,,
3757,one,,,
3758,,,,
3759,,,,
3760,,,,
3761,,,,
3762,,,,
3763,ten,ten,ten,one
3764,,,,
3765,,,,
3766,,,,
3767,two,two,,
3768,one,,,
3769,,,,
3770,,,,
3771,,,,
3772,,,,
3773,,,,
3774,,,,
3775,,,,
3776,,,,
3777,ten,one,one,
3778,,,,
3779,,,,
3780,,,,
3781,,,,
3782,,,,
3783,,,,
3784,,,,
3785,,,,
3786,,,,
3787,,,,
3788,,,,
3789,five,,,
3790,,,,
3791,,,,
3792,,,,
3793,,,,
3794,,,,
3795,,,,
3796,ten,,,
3797,,,,
3798,,,,
3799,,,,
3800,,,,
3801,one,,,
3802,,,,
3803,three,one,,
3804,,,,
3805,three,,,
3806,,,,
3807,,,,
3808,,,,
3809,,,,
3810,,,,
3811,two,one,,
3812,,,,
3813,two,,,
3814,two,,,
3815,,,,
3816,,,,
3817,,,,
3818,,,,
3819,,,,
3820,,,,
3821,,,,
3822,,,,
3823,,,,
3824,,,,
3825,ten,,,
3826,,,,
3827,,,,
3828,,,,
3829,,,,
3830,,,,
3831,one,,,
3832,ten,one,one,
3833,,,,
3834,one,ten,,
3835,,,,
3836,one,one,,
3837,one,,,
3838,ten,,,
3839,,,,
3840,,,,
3841,,,,
